Position,YearsExperience,EducationLevel,Industry,Location,Salary(INR)
Software Engineer,3.8,Bachelors,Finance,Hyderabad,1044000.0
Software Engineer,14.6,Bachelors,Healthcare,Bangalore,2096000.0
NLP Engineer,11.4,PhD,Healthcare,Bangalore,1882000.0
AI Researcher,12.3,Bachelors,IT,Hyderabad,1933000.0
Software Engineer,8.1,PhD,Healthcare,Remote,1840000.0
NLP Engineer,9.0,PhD,Education,Mumbai,1803000.0
Computer Vision Engineer,10.9,Bachelors,Retail,Bangalore,1895000.0
Computer Vision Engineer,1.4,Masters,Retail,Bangalore,705000.0
NLP Engineer,6.4,PhD,Retail,Hyderabad,1508000.0
MLOps Engineer,14.1,Masters,Manufacturing,Mumbai,2514000.0
Business Intelligence Analyst,7.8,PhD,Manufacturing,Hyderabad,1656000.0
NLP Engineer,2.9,Bachelors,IT,Bangalore,738000.0
Machine Learning Engineer,8.9,Masters,Healthcare,Chennai,1663000.0
Data Analyst,9.0,Masters,Education,Chennai,1502000.0
MLOps Engineer,4.3,Bachelors,Finance,Pune,1044000.0
Big Data Engineer,9.2,Bachelors,Finance,Delhi,1622000.0
AI Researcher,13.5,PhD,Finance,Delhi,2252000.0
Computer Vision Engineer,7.1,PhD,IT,Delhi,1574000.0
Data Analyst,13.5,Masters,Education,Mumbai,1605000.0
Data Scientist,6.4,PhD,Healthcare,Chennai,1833000.0
Data Scientist,1.9,Masters,Healthcare,Hyderabad,810000.0
Software Engineer,11.2,Bachelors,Education,Delhi,1568000.0
Data Scientist,3.4,PhD,IT,Bangalore,1310000.0
Big Data Engineer,13.0,PhD,IT,Mumbai,2652000.0
Business Intelligence Analyst,10.9,PhD,Education,Bangalore,1755000.0
MLOps Engineer,1.9,Masters,IT,Pune,812000.0
AI Researcher,12.0,PhD,Manufacturing,Hyderabad,2502000.0
Business Intelligence Analyst,4.9,PhD,IT,Chennai,1195000.0
Data Scientist,5.6,Masters,Healthcare,Remote,1208000.0
Software Engineer,14.9,Bachelors,Education,Chennai,1538000.0
Software Engineer,6.5,PhD,IT,Hyderabad,1333000.0
Computer Vision Engineer,4.2,Masters,Finance,Chennai,1195000.0
Business Intelligence Analyst,11.3,Masters,IT,Remote,2146000.0
Data Analyst,10.2,PhD,Healthcare,Mumbai,2207000.0
Computer Vision Engineer,3.7,Bachelors,Education,Delhi,931000.0
Business Intelligence Analyst,11.8,Bachelors,Manufacturing,Bangalore,2078000.0
Business Intelligence Analyst,13.9,Bachelors,Retail,Bangalore,1870000.0
Data Analyst,5.6,PhD,Manufacturing,Delhi,1618000.0
Data Analyst,13.2,Bachelors,Manufacturing,Chennai,2171000.0
Business Intelligence Analyst,1.1,Bachelors,Manufacturing,Remote,478000.0
Business Intelligence Analyst,6.6,Bachelors,Education,Mumbai,1100000.0
MLOps Engineer,1.8,Masters,Finance,Delhi,888000.0
Big Data Engineer,10.9,Bachelors,Finance,Pune,1940000.0
Business Intelligence Analyst,9.1,Bachelors,Manufacturing,Bangalore,1588000.0
Data Scientist,7.0,Masters,Manufacturing,Bangalore,1171000.0
NLP Engineer,9.5,Masters,IT,Pune,1495000.0
MLOps Engineer,11.7,PhD,Healthcare,Delhi,2401000.0
Big Data Engineer,3.9,Bachelors,Manufacturing,Delhi,739000.0
Data Analyst,13.3,PhD,Healthcare,Remote,2275000.0
Software Engineer,7.8,Bachelors,Manufacturing,Mumbai,1471000.0
Computer Vision Engineer,15.0,Bachelors,Finance,Hyderabad,2634000.0
MLOps Engineer,8.1,PhD,Finance,Hyderabad,1552000.0
MLOps Engineer,6.8,Masters,Retail,Remote,1299000.0
Computer Vision Engineer,9.3,Bachelors,Finance,Pune,1425000.0
Computer Vision Engineer,10.4,Masters,Retail,Pune,1582000.0
AI Researcher,13.9,PhD,Retail,Mumbai,2718000.0
Data Scientist,14.1,Masters,Retail,Mumbai,2621000.0
Business Intelligence Analyst,5.4,Masters,Education,Delhi,1210000.0
Machine Learning Engineer,14.1,PhD,Education,Bangalore,1893000.0
Machine Learning Engineer,7.6,Masters,Manufacturing,Remote,1495000.0
Data Analyst,10.7,Masters,Education,Hyderabad,1914000.0
Data Scientist,13.6,Masters,Finance,Delhi,2737000.0
Business Intelligence Analyst,8.2,Masters,Finance,Remote,1820000.0
MLOps Engineer,1.3,Masters,Retail,Remote,729000.0
Business Intelligence Analyst,5.4,PhD,Education,Mumbai,1516000.0
Computer Vision Engineer,9.5,Bachelors,IT,Pune,1341000.0
Data Analyst,8.3,Bachelors,IT,Pune,1197000.0
Data Analyst,4.7,PhD,Healthcare,Chennai,1285000.0
Computer Vision Engineer,9.6,Masters,Manufacturing,Chennai,1856000.0
MLOps Engineer,12.3,PhD,Retail,Hyderabad,1902000.0
Big Data Engineer,7.4,Masters,Manufacturing,Chennai,1467000.0
Software Engineer,11.6,PhD,Education,Delhi,2301000.0
Computer Vision Engineer,5.1,PhD,Finance,Bangalore,1448000.0
AI Researcher,1.9,Bachelors,IT,Hyderabad,636000.0
Data Analyst,13.6,Masters,IT,Hyderabad,2040000.0
Big Data Engineer,8.3,PhD,Healthcare,Chennai,1571000.0
Data Analyst,4.9,Bachelors,Finance,Delhi,1051000.0
Computer Vision Engineer,8.0,PhD,Finance,Pune,1899000.0
AI Researcher,8.5,PhD,IT,Delhi,1526000.0
Data Analyst,2.1,Bachelors,Retail,Chennai,539000.0
Data Scientist,5.5,PhD,Manufacturing,Mumbai,1556000.0
Data Analyst,6.2,Bachelors,Healthcare,Bangalore,925000.0
